product_id,category,sub_category,product_name,brand,intro_description,price,mrp,currency,image,specs,features,warranty
acer-celeron-processor-lpddr4x-a325-45,Laptop,,"Acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",acer,,26000,35990,,https://m.media-amazon.com/images/I/71MllJzfDfL._SX679_.jpg; https://m.media-amazon.com/images/I/71Mwxs8TX+L._SX679_.jpg; https://m.media-amazon.com/images/I/71TpwcAN1PL._SX679_.jpg,Processor: Intel Celeron; RAM: 1.5 GB; Display: 15.6? HD; Operating System: Windows 11; Color: Pure Silver,"Stylish design, Durable build, High performance",1 Year
acer-i3-1305u-premium-windows-al15-53,Laptop,,"Acer Aspire Lite, 13th Gen, Intel Core i3-1305U, 8GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-53, Metal Body, 36 WHR, Thin and Light Premium Laptop",acer,,35000,52990,,https://m.media-amazon.com/images/I/619X5s7lZQL._SX679_.jpg; https://m.media-amazon.com/images/I/51xZ3KQH1kL.jpg; https://m.media-amazon.com/images/I/61EgVRQj1UL._SL1000_.jpg; https://m.media-amazon.com/images/I/51QEU4MMD-L.jpg,Processor: Intel Core i3; Display: 15.6? FHD; Operating System: Windows 11; Color: Steel Gray; Weight: 1.59 kg,"Energy efficient, Compact, Stylish design",1 Year
acer-aspire-lite-intel-core,Laptop,,"Acer Aspire Lite, Intel Core i5 13th Gen - 1334U, 16GB RAM, 512GB SSD, Full HD 15.6""/39.62 cm, Windows 11 Home, MS Office, Steel Gray, 1.59 KG, AL15-53, Metal Body, Thin and Light Premium Laptop",acer,,47000,59999,,https://m.media-amazon.com/images/I/61yC4DN4asL._SX679_.jpg;  https://m.media-amazon.com/images/I/81ZX5UIIu7L._SX679_.jpg; https://m.media-amazon.com/images/I/71qWenl+2EL._SL1500_.jpg; https://m.media-amazon.com/images/I/81aaoxKpiJL._SL1500_.jpg,Processor: Intel Core i5; Display: 15.6? FHD; Operating System: Windows 11;  Color: Steel Gray; Weight: 1.59 kg,"Fast connectivity, High performance, Energy efficient",1 Year
acer-aspire-lite-al15-52h-un-347si-00v-laptop,Laptop,,Acer ASPIRE LITE AL15-52H UN.347SI.00V Laptop (Intel Core i5-13420H / 16GB / 512GB SSD / Windows 11 Home+ Ms Office/ 15.6? FHD / 1 year warranty),acer,,54000,66990,,https://www.acer.dotcomstores.in/wp-content/uploads/2025/09/UN.347SI.00V.jpg,Processor: Intel Core i5-H; Display: 15.6? FHD; Operating System: Windows 11; Color: Pure Silver; Weight: 1.59 kg,"Energy efficient, Compact, Stylish design",1 Year
acer-smartchoice-i5-13420h-geforce-3050-6gb-al15g-53,Laptop,,"Acer SmartChoice ALG, 13th Gen Intel Core i5-13420H, NVIDIA GeForce RTX 3050-6GB DDR6, 16GB RAM, 512GB SSD, FHD 15.6""/39.62 cm, 144Hz, Windows 11 Home, Steel Gray, 1.99 KG, AL15G-53,Gaming Laptop",acer,,66000,74990,,https://m.media-amazon.com/images/I/81G1L3nptrL._SX679_.jpg; https://m.media-amazon.com/images/I/912xT0gp7wL._SX679_.jpg; https://m.media-amazon.com/images/I/61Y1Psuxw4L._SX679_.jpg; https://m.media-amazon.com/images/I/61SNyqLDxlL._SL1080_.jpg,Processor: Intel Core i5-H; Display: 15.6? FHD; Operating System: Windows 11; Color: Steel Gray; Weight: 1.99 kg,"Compact, Fast connectivity, Stylish design",1 Year
acer-processor-graphics-win11home-al15g-53,Laptop,,"Acer ALG, Intel Core i7-13th Gen 13620H Processor, NVIDIA GeForce RTX 3050-6GB(16GB/512GB) FHD, 39.62cm(15.6""), 144Hz, Windows 11 Home, Steel Gray, 1.99KG, AL15G-53, Premium Metal Body,Gaming Laptop",acer,,75000,99999,,https://m.media-amazon.com/images/I/81sAOthl+7L._SX679_.jpg; https://m.media-amazon.com/images/I/71Vz8IBbVYL._SX679_.jpg; https://m.media-amazon.com/images/I/61+3KzKdKPL._SL1080_.jpg; https://m.media-amazon.com/images/I/61SNyqLDxlL._SL1080_.jpg,Processor: Intel Core i7-H; Display: 15.6? FHD; Operating System: Windows 11; Color: Steel Gray; Weight: 1.99 kg,"Compact, High performance, Stylish design",1 Year
acer-nitro-v-amd-ryzen-5-hexa-core-6600h-16-gb-512-gb-ssd,Laptop,,"Acer Nitro V AMD Ryzen 5 Hexa Core 6600H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) ANV15-41-R8G0 Gaming Laptop  (16 inch, Obsidian Black",acer,,63000,108999,,https://www.acer.dotcomstores.in/wp-content/uploads/2025/03/Nitro-V-3050-NH.QPFSI_.006.jpg; ,Processor: AMD Ryzen 5-H; Display: 16? IPS; Operating System: Windows 11; Color: Obsidian Black; Weight: 2.1 kg,"High performance, Fast connectivity, Durable build",1 Year
acer-i5-13420h-processor-geforce-nl16-71g-backlit,Laptop,,"Acer Nitro Lite 16, Intel Core i5-13420H Processor,NVIDIA GeForce RTX 3050-6 GB GDDR6, 16GB/ 512 GB, 16.0""/40.64 cm, 165 Hz, Win 11 Home, White, 1.95 kg, NL16-71G, Backlit KB,Gaming",acer,,70000,84990,,https://m.media-amazon.com/images/I/81ShI4duOGL._SX679_.jpg; https://m.media-amazon.com/images/I/91sBKFG569L._SX679_.jpg; https://m.media-amazon.com/images/I/91TztXv5r9L._SX679_.jpg; https://m.media-amazon.com/images/I/81mFCYb+8hL._SL1500_.jpg,Processor: Intel Core i5-H; Display: 16? IPS; Operating System: Windows 11; Warranty: 1 Year; Color: White; Weight: 1.95 kg,"Durable build, High performance, Stylish design",1 Year
acer-nitro-lite-16-intel-core-i5-13th-gen-13420h-8-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-nl16-71g-gaming-laptop,Laptop,,"Acer NITRO LITE 16 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) NL16-71G-54MY / NL16-71G Gaming Laptop  (16 Inch, White, 1.95 Kg)",acer,,71000,102799,,https://m.media-amazon.com/images/I/81ShI4duOGL._SX679_.jpg; https://m.media-amazon.com/images/I/81YdntPh9PL._SL1500_.jpg; https://m.media-amazon.com/images/I/81alnElihlL._SL1500_.jpg; https://m.media-amazon.com/images/I/81mFCYb+8hL._SL1500_.jpg,Processor: Intel Core i5-H; Display: 16? IPS; Operating System: Windows 11; Warranty: 1 Year; Color: White; Weight: 1.95 kg,"Compact, Durable build, Energy efficient",1 Year
acer-predator-helios-neo-16s-ai-nh-qx8si-001-gaming-laptop,,,"Acer PREDATOR HELIOS NEO 16S AI (Intel Core Ultra 7 255HX processor / NVIDIA GeForce RTX 5050 / 8GB GDDR7 / 16GB RAM / 1TB SSD / WQXGA OLED, 16.0? / 40.64 cm support 240Hz, Windows 11 Home)",acer,,156000,179999,,https://vsprod.vijaysales.com/media/catalog/product/2/4/242102_1_.jpg?optimize=medium&fit=bounds&height=500&width=500; https://vsprod.vijaysales.com/media/catalog/product/2/4/242102_12_.jpg?optimize=medium&fit=bounds&height=500&width=500; https://vsprod.vijaysales.com/media/catalog/product/2/4/242102_9_.jpg?optimize=medium&fit=bounds&height=500&width=500,Processor: Intel Core Ultra 7; Display: 16? OLED; Operating System: Windows 11; Warranty: 1 Year; Color: Abyssal Black; Weight: 2.3 kg,"Energy efficient, Compact, Stylish design",1 Year
